made,shot_x,shot_y,shooter_velocity_ft_sec,shooter_velocity_angle,dribbles_before,defender_distance,defender_angle,defender_velocity_ft_sec,defender_velocity_angle
0,-1.643617186,18.11913533,1.870883292,23.61832622,1,10.00407433,33.03690742,4.906113552,-59.10058631
0,-4.488024445,22.65846689,1.001283012,133.9758822,0,7.655019467,-13.40452444,2.358548198,10.36283064
0,-3.935172149,2.132872157,10.47191371,4.918328153,1,3.610885921,167.8027707,2.07552319,-22.95901968
0,21.08442934,0.482098462,2.230982907,-96.20690526,1,1.113495178,-17.56011041,3.045781985,82.61823696
0,7.84483449,39.2312802,12,19.65075952,3,2.573718123,16.30667824,6.632319102,-119.0315106
1,-7.192586567,-1.691068586,3.579665443,0.860104759,0,4.228830556,-2.078434035,4.527277221,-10.4491086
0,21.20393388,-0.577433161,1.708656458,27.07708624,0,11.47441736,5.568833654,10.61623562,-14.96118804
1,-6.061591226,19.64904103,1.366671418,-15.65423105,0,9.356087916,-5.224644478,9.169846835,-6.485859386
0,-20.92926582,13.00847986,2.562247112,-61.44010268,0,4.714766757,-11.05879816,9.105976368,-3.056735032
1,-13.57290265,-0.793379201,5.706651836,180,3,3.981835997,7.236343231,4.29080718,-8.404496547
1,-5.775913592,3.671887174,12,39.35947159,11,3.049834603,95.00724116,12,-10.03872697
0,-2.240179383,5.8725798,9.076552218,7.330866287,0,1.897758884,63.00448665,4.962864219,-99.81180309
0,19.14246967,18.43635206,1.42314032,64.22763611,0,4.602808442,-33.56463194,6.849964938,-73.3601961
1,-1.920202299,1.67355062,0.463036724,68.31763638,0,0,153.4852686,1.840371984,13.36826313
0,-12.5540321,0.734864334,2.117669138,157.9842932,1,4.449937207,-69.30072656,5.967313267,102.4149099
1,2.904061439,3.297159044,5.400028001,-66.52672896,8,1.523996503,-158.1671785,10.72059378,-103.785281
0,-18.68611663,56.32222924,11.92010308,17.3825019,2,10.47078379,101.4934666,10.80761385,-15.17242225
1,1.219381323,21.47444979,0,-51.50888186,0,13.30228604,-4.652150766,2.436384585,130.9242916
0,-5.969924966,27.20126708,2.637671739,87.72130202,0,4.343213067,30.82775914,3.602352338,-58.97935794
0,-5.157374338,25.0627295,12,-9.512734021,1,3.251666769,-180,12,-27.1112359
0,-2.668365533,8.727743168,12,46.84881614,4,2.821933361,70.73451301,7.413325678,-83.82293462
1,22.98667473,2.712477898,0.37192789,39.97675588,0,7.162991431,-7.330379726,11.27636219,-10.72621467
1,-21.61149412,3.606249574,2.373595794,50.01467777,0,3.349688443,32.92760605,9.404640838,63.81954896
0,2.0694297,3.100559002,6.094337115,-159.0331007,0,1.379135116,-161.5135355,3.272695215,-179.0129657
1,-8.311758142,19.93821227,2.372364892,21.59357695,0,5.960774114,4.016948563,8.1351315,12.8583176
1,0.348493129,2.848879296,8.21975238,48.28197823,0,4.402800629,36.48184211,3.137984114,-139.7997648
0,-23.19312132,45.45736678,5.09544096,-29.69349117,0,3.454485931,9.8834754,9.720611967,154.0057557
1,-0.598560361,2.082333188,3.185114987,-57.16047888,0,4.196943782,-57.9989251,0.963802852,21.36814773
1,-3.824773247,0.389721317,3.929037603,-29.34308898,0,6.263270162,55.14716629,4.595629884,-35.68921066
1,2.072751763,1.949473766,1.165514963,-118.4187556,0,1.604931678,83.19838074,3.083934762,90.18382832
1,-1.699957159,0.302459404,4.448413035,-56.39762039,0,20.85052596,-106.2547444,12,-8.834786985
1,-19.0654904,15.4769999,2.456878791,-91.73466697,0,4.092041779,80.44695117,3.258624955,-60.95046771
0,2.573255609,0.756780742,10.93578718,-48.20162557,4,0.494731236,-5.732461667,10.27619985,115.0992496
1,-2.83504068,1.401376694,12,-25.64806685,2,1.944224653,-11.96409869,12,121.3640876
1,1.02008326,17.90544845,4.352113,-16.88618862,12,6.601925519,-116.4830645,8.627219084,26.57299558
1,5.0259656,3.683594266,10.13676812,39.39521504,4,1.967604692,108.5315731,10.90891338,-19.70295619
0,-4.129356964,0.116105885,4.1803206,38.34197714,2,3.982484425,163.6436855,0,73.31943729
